texto,intent
hola,greeting
buenos días,greeting
buenas tardes,greeting
buenas noches,greeting
qué tal,greeting
hey jarvis,greeting
saludos,greeting
hola jarvis,greeting
buenas,greeting
hey,greeting
good morning,greeting
hi,greeting
hello,greeting
que tal jarvis,greeting
oye jarvis,greeting
cómo estás,how_are_you
cómo andas,how_are_you
qué hay,how_are_you
cómo te encuentras,how_are_you
cómo sigues,how_are_you
cómo estás jarvis,how_are_you
cómo andas hoy,how_are_you
que tal estas,how_are_you
cómo estás hoy,how_are_you
cómo te va,how_are_you
cómo estamos,how_are_you
qué me cuentas,how_are_you
qué hora es,time
dime la hora,time
hora actual,time
son las,time
qué día es hoy,time
qué fecha es,time
fecha actual,time
a qué día estamos,time
dime el día,time
dame la hora,time
qué hora tienes,time
hora del sistema,time
hora oficial,time
me das la hora,time
que hora es exactamente,time
clima en La Habana,weather
cómo está el clima,weather
qué temperatura hace,weather
va a llover hoy,weather
hace frío afuera,weather
hace calor en Madrid,weather
pronóstico para mañana,weather
cómo está el tiempo,weather
temperatura en Bogotá,weather
está lloviendo,weather
hay sol hoy,weather
clima en Barcelona,weather
qué tiempo hace,weather
pronóstico del clima,weather
va a hacer calor,weather
dame las noticias,news
noticias de tecnología,news
últimas noticias,news
qué pasó hoy,news
noticias de deportes,news
actualidad,news
titulares del día,news
noticias sobre inteligencia artificial,news
qué hay de nuevo,news
noticias de ciencia,news
novedades,news
noticias de salud,news
noticias de economía,news
qué noticias hay,news
cómo va Apple,stocks
precio de bitcoin,stocks
cotización de Tesla,stocks
bolsa de Microsoft,stocks
cómo va BTC,stocks
dame el precio de Google,stocks
qué tal va Amazon,stocks
cotiza Apple,stocks
valor de NVIDIA,stocks
bolsa hoy,stocks
acciones de Meta,stocks
precio del petróleo,stocks
cómo está el mercado,stocks
cotización del dólar,stocks
ibex 35,stocks
pon música de Avicii,music
reproduce Queen,music
quiero escuchar a Shakira,music
poner música relajante,music
reproduce mi playlist,music
música clásica,music
pon canciones de los 80,music
escuchar música,music
toca algo de rock,music
siguiente canción,music
pausa la música,music
volumen más alto,music
cerrar la música,music
silencio,music
basta de música,music
abre Chrome,apps
abre el bloc de notas,apps
abre la calculadora,apps
abre Spotify,apps
abre Word,apps
abre Discord,apps
abre VSCode,apps
abre el navegador,apps
abre la terminal,apps
abre PowerPoint,apps
